home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.2,1.2,0.8,3.0,0.4,0.0,1.4,0.0,1,0.4666666666666667,0.4444444444444444,5.0,1.0,2,germany,2020-10-31,Augsburg,Mainz
0.8,1.6,2.2,0.4,0.2,0.8,0.8,2.4,1,0.3333333333333333,0.45454545454545453,1.0,1.0,0,germany,2020-10-31,Bielefeld,Dortmund
1.4,1.8,1.4,1.4,0.4,0.4,1.6,1.6,1,0.3333333333333333,0.4,1.0,3.0,1,germany,2020-10-31,Ein Frankfurt,Werder Bremen
1.0,1.8,4.4,1.6,0.0,0.8,0.4,2.4,1,0.2,0.625,1.0,2.0,0,germany,2020-10-31,FC Koln,Bayern Munich
1.6,1.6,2.4,0.6,0.4,0.8,1.6,2.6,1,0.6666666666666666,0.1875,2.0,4.0,2,germany,2020-10-31,M'gladbach,RB Leipzig
1.2,1.8,1.2,0.6,0.2,0.4,1.2,1.8,1,0.5555555555555556,0.3684210526315789,2.0,2.0,0,germany,2020-11-01,Freiburg,Leverkusen
1.8,2.4,0.8,0.6,0.2,0.2,0.6,1.4,1,0.2631578947368421,0.3333333333333333,3.0,1.0,1,germany,2020-11-01,Hertha,Wolfsburg
1.8,1.4,1.6,1.2,0.4,0.2,1.4,1.2,1,0.45454545454545453,0.6,4.0,2.0,0,germany,2020-11-02,Hoffenheim,Union Berlin
1.3333333333333333,1.3333333333333333,1.0,1.8333333333333333,0.3333333333333333,0.0,1.5,0.3333333333333333,1,0.21052631578947367,0.1111111111111111,2.0,2.0,1,germany,2020-11-06,Werder Bremen,FC Koln
1.5,1.1666666666666667,1.6666666666666667,2.1666666666666665,0.5,0.16666666666666666,1.6666666666666667,0.6666666666666666,1,0.18181818181818182,0.46153846153846156,3.0,0.0,0,germany,2020-11-07,Augsburg,Hertha
2.0,0.6666666666666666,1.3333333333333333,2.1666666666666665,0.6666666666666666,0.16666666666666666,2.1666666666666665,1.0,1,0.4375,0.3333333333333333,2.0,3.0,2,germany,2020-11-07,RB Leipzig,Freiburg
1.8333333333333333,1.1666666666666667,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.5,1.5,1,0.29411764705882354,0.5,2.0,4.0,1,germany,2020-11-07,Stuttgart,Ein Frankfurt
