home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.4,2.2,1.75,1.0,0.2,0.25,1.0,1.5,1,0.25,0.5555555555555556,3,1,0,italy,2020-11-01,Spezia,Juventus
1.75,2.75,1.2,1.8,0.0,0.4,0.25,1.4,1,0.6666666666666666,0.5,2,4,0,italy,2020-11-01,Torino,Lazio
3.5,0.5,3.2,1.8,1.0,0.6,3.0,2.2,1,0.3684210526315789,0.5555555555555556,2,2,0,italy,2020-11-01,Napoli,Sassuolo
2.2,1.4,2.0,2.0,0.4,0.4,1.8,1.4,1,0.5833333333333334,0.25,3,5,2,italy,2020-11-01,Roma,Fiorentina
2.0,1.6,1.0,2.25,0.6,0.25,1.8,1.0,1,0.3,0.5,5,1,1,italy,2020-11-01,Sampdoria,Genoa
0.4,0.4,1.8,2.8,0.2,0.4,1.2,1.2,1,0.6363636363636364,0.45454545454545453,5,7,2,italy,2020-11-02,Verona,Benevento
1.0,2.0,2.0,3.0,0.2,0.0,1.0,0.2,1,0.4,0.14285714285714285,2,4,0,italy,2020-11-04,Genoa,Torino
3.0,1.5,1.0,1.8333333333333333,0.6666666666666666,0.16666666666666666,2.3333333333333335,0.5,1,0.25,0.0,2,2,1,italy,2020-11-06,Sassuolo,Udinese
1.6666666666666667,2.8333333333333335,1.3333333333333333,2.5,0.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,1,0.6,0.5,3,3,0,italy,2020-11-07,Benevento,Spezia
1.3333333333333333,2.1666666666666665,1.6666666666666667,2.0,0.16666666666666666,0.3333333333333333,0.8333333333333334,1.1666666666666667,1,0.0,0.5714285714285714,1,2,1,italy,2020-11-07,Parma,Fiorentina
2.0,2.5,1.8333333333333333,1.5,0.3333333333333333,0.5,1.1666666666666667,1.6666666666666667,1,0.5,0.16666666666666666,0,5,2,italy,2020-11-07,Cagliari,Sampdoria
