home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
0.8,2.0,1.2,0.4,0.2,0.6,0.6,2.2,1,0.2,0.46153846153846156,1,1,0,france,2020-10-04,Strasbourg,Lille
1.8,2.4,1.8,1.4,0.4,0.6,1.2,2.0,1,0.625,0.09090909090909091,3,4,2,france,2020-10-04,Brest,Monaco
0.5,2.1666666666666665,2.3333333333333335,1.1666666666666667,0.0,0.6666666666666666,0.16666666666666666,2.3333333333333335,1,0.3076923076923077,0.23076923076923078,4,2,1,france,2020-10-16,Dijon,Rennes
1.5,1.1666666666666667,2.0,0.5,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,1,0.3333333333333333,0.3548387096774194,4,2,0,france,2020-10-16,Nimes,Paris SG
0.8333333333333334,1.6666666666666667,1.5,2.1666666666666665,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,1,0.42857142857142855,0.26666666666666666,10,1,0,france,2020-10-17,Reims,Lorient
1.1666666666666667,1.1666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5,1.5,1,0.5714285714285714,0.4444444444444444,3,1,2,france,2020-10-17,Marseille,Bordeaux
0.6666666666666666,2.1666666666666665,1.1666666666666667,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5,1.1666666666666667,1,0.42857142857142855,0.5333333333333333,2,3,0,france,2020-10-18,Strasbourg,Lyon
1.1666666666666667,2.3333333333333335,1.0,1.0,0.5,0.3333333333333333,1.5,1.1666666666666667,1,0.25,0.375,4,2,1,france,2020-10-18,Angers,Metz
1.5,1.3333333333333333,2.0,1.3333333333333333,0.5,0.5,1.6666666666666667,1.6666666666666667,1,0.3181818181818182,0.5,2,4,1,france,2020-10-18,Monaco,Montpellier
1.0,1.5,1.6666666666666667,2.0,0.16666666666666666,0.5,0.8333333333333334,1.5,1,0.6153846153846154,0.3333333333333333,3,2,2,france,2020-10-18,Nantes,Brest
1.3333333333333333,1.1666666666666667,1.1666666666666667,1.3333333333333333,0.5,0.5,1.6666666666666667,1.6666666666666667,1,0.3333333333333333,0.4166666666666667,2,5,0,france,2020-10-18,St Etienne,Nice
1.5,0.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.1666666666666665,1,0.3333333333333333,0.25,0,9,2,france,2020-10-18,Lille,Lens
2.142857142857143,1.1428571428571428,1.1428571428571428,2.142857142857143,0.5714285714285714,0.42857142857142855,2.142857142857143,1.4285714285714286,1,0.08333333333333333,0.36363636363636365,2,0,0,france,2020-10-23,Rennes,Angers
2.2857142857142856,0.42857142857142855,0.5714285714285714,2.0,0.7142857142857143,0.0,2.142857142857143,0.2857142857142857,1,0.42857142857142855,0.17647058823529413,0,2,2,france,2020-10-24,Paris SG,Dijon
1.7142857142857142,2.0,1.4285714285714286,1.1428571428571428,0.2857142857142857,0.42857142857142855,1.0,1.7142857142857142,1,0.21428571428571427,0.1875,3,3,0,france,2020-10-24,Lorient,Marseille
1.0,0.7142857142857143,1.2857142857142858,1.5714285714285714,0.2857142857142857,0.2857142857142857,1.2857142857142858,1.1428571428571428,1,0.2857142857142857,0.4444444444444444,3,3,2,france,2020-10-25,Bordeaux,Nimes
1.4285714285714286,1.0,1.4285714285714286,1.2857142857142858,0.2857142857142857,0.42857142857142855,1.4285714285714286,1.5714285714285714,1,0.375,0.2631578947368421,6,4,2,france,2020-10-25,Lyon,Monaco
1.5714285714285714,2.142857142857143,0.8571428571428571,2.2857142857142856,0.42857142857142855,0.14285714285714285,1.2857142857142858,0.42857142857142855,1,0.26666666666666666,0.625,1,3,0,france,2020-10-25,Brest,Strasbourg
1.8571428571428572,1.2857142857142858,0.8571428571428571,1.8571428571428572,0.42857142857142855,0.0,1.5714285714285714,0.2857142857142857,1,0.16666666666666666,0.36,7,0,0,france,2020-10-25,Montpellier,Reims
1.0,1.0,1.2857142857142858,1.4285714285714286,0.2857142857142857,0.42857142857142855,1.1428571428571428,1.4285714285714286,1,0.42857142857142855,0.0,3,3,2,france,2020-10-25,Metz,St Etienne
1.4285714285714286,1.2857142857142858,1.8571428571428572,0.2857142857142857,0.5714285714285714,0.7142857142857143,1.8571428571428572,2.4285714285714284,1,0.3333333333333333,0.3076923076923077,1,6,1,france,2020-10-25,Nice,Lille
2.0,1.25,1.375,2.25,0.5,0.375,1.875,1.125,1,0.32,0.4,1,3,2,france,2020-10-31,Rennes,Brest
1.2857142857142858,1.4285714285714286,2.5,0.375,0.2857142857142857,0.75,1.1428571428571428,2.25,1,0.14285714285714285,0.2857142857142857,2,1,0,france,2020-10-31,Nantes,Paris SG
1.125,1.5,1.625,1.625,0.375,0.375,1.25,1.375,1,0.0,0.18181818181818182,3,3,0,france,2020-11-01,St Etienne,Montpellier
0.5,2.25,1.5,1.875,0.0,0.25,0.25,0.875,1,0.16666666666666666,0.1,2,1,1,france,2020-11-01,Dijon,Lorient
1.125,1.625,1.125,0.875,0.25,0.375,1.0,1.375,1,0.11764705882352941,0.5555555555555556,3,5,0,france,2020-11-01,Nimes,Metz
